time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-06-03T10:08:33.481Z,-20.6574,-68.9661,135.688,5,mww,28,56,1.007,1.01,us,us7000k62d,2023-06-03T17:06:18.752Z,"80 km ESE of La Tirana, Chile",earthquake,5.89,7.351,0.08,15,reviewed,us,us
2023-06-03T07:17:43.503Z,-15.9191,-72.044,10,4.7,mb,47,142,2.931,1.04,us,us7000k61d,2023-06-15T11:27:46.040Z,"11 km NNW of Lluta, Peru",earthquake,11.22,1.917,0.081,46,reviewed,us,us
2023-06-03T02:48:12.487Z,-15.8418,-71.9907,10,5,mb,50,146,2.968,1.11,us,us7000k609,2023-06-23T01:20:28.040Z,"17 km SE of Huambo, Peru",earthquake,6.71,1.88,0.068,69,reviewed,us,us
2023-06-03T02:27:39.252Z,-15.8595,-71.7954,10,5.1,mww,68,96,2.858,0.9,us,us7000k603,2023-06-23T00:54:59.239Z,"",earthquake,8.39,1.773,0.068,21,reviewed,us,us
2023-06-03T01:49:15.167Z,-15.6705,-71.605,10,5.4,mww,72,96,2.945,0.89,us,us7000k5zj,2023-06-23T00:45:06.323Z,"southern Peru",earthquake,10.65,1.769,0.047,44,reviewed,us,us
2023-06-03T00:49:52.392Z,-17.1416,-69.6949,179.474,4.3,mb,34,98,0.49,0.86,us,us7000k5z4,2023-06-11T05:07:00.040Z,"40 km ENE of Chuquitira, Peru",earthquake,8.06,5.731,0.154,12,reviewed,us,us
2023-06-02T18:58:51.326Z,-23.4288,-66.8171,204.184,4.6,mb,27,43,1.34,1.08,us,us7000k5vc,2023-06-19T18:28:15.573Z,"101 km NNW of San Antonio de los Cobres, Argentina",earthquake,9,7.275,0.151,15,reviewed,us,us
2023-06-02T14:06:40.466Z,-16.1509,-75.5507,10,4.6,mb,41,144,4.324,0.41,us,us7000k5sh,2023-06-11T06:35:13.040Z,"Off the coast of southern Peru",earthquake,10.75,1.904,0.105,27,reviewed,us,us
2023-06-01T03:52:44.686Z,-20.8342,-68.2657,199.229,4.2,mb,20,59,1.161,0.65,us,us7000k5f4,2023-06-15T01:49:44.040Z,"43 km N of Ollagüe, Chile",earthquake,7.02,9.74,0.216,6,reviewed,us,us
2023-05-30T18:15:52.393Z,-35.5735,-74.5237,3.975,4.3,mb,32,105,1.593,0.79,us,us7000k525,2023-06-16T16:06:59.040Z,"Off the coast of Maule, Chile",earthquake,6.14,3.946,0.188,9,reviewed,us,us
2023-05-30T16:51:35.377Z,-20.7038,-70.6344,24.602,5.5,mww,108,95,0.639,0.92,us,us7000k51s,2023-06-06T19:24:12.188Z,"Near the coast of Tarapaca, Chile",earthquake,4.6,1.982,0.078,16,reviewed,us,us
2023-05-30T12:25:37.549Z,-21.9594,-68.5552,10,4.4,mb,17,170,1.047,0.71,us,us7000k4z1,2023-06-02T17:21:15.040Z,"66 km NE of Calama, Chile",earthquake,3.17,1.935,0.268,4,reviewed,us,us
2023-05-30T06:35:17.500Z,-29.4203,-71.3563,43.474,4.3,mb,24,138,0.507,0.66,us,us7000k4xq,2023-06-11T06:51:56.040Z,"54 km N of La Serena, Chile",earthquake,4.63,7.879,0.237,5,reviewed,us,us
2023-05-30T03:32:03.745Z,-18.3198,-70.0528,90.56,4.1,mb,18,89,0.279,0.4,us,us7000k4wz,2023-06-13T04:16:57.040Z,"31 km ENE of Arica, Chile",earthquake,5.81,5.207,0.197,7,reviewed,us,us
