Year,Disaster Subtype,ISO,Location,Dis Mag Value,Latitude,Longitude,Local Time,date,End date,Total Deaths,Total Affected,Total Damages US$(2021)
2014,Ground movement,JPN,"Hakuba village (Hakubamura district, Nagano province)",6.0,36.6408,137.8875,22:08,2014-11-22,2014-11-22,,2657.0,2472.0
2016,Ground movement,JPN,Kumamoto province (Kyushu Isl.),7.0,32.788,130.7,21:26,2016-04-14,2016-04-14,9.0,120800.0,46335626.0
2016,Ground movement,JPN,"Kumamoto, Fukuoka, Saga, Oita, Miyazaki provinces",7.0,32.791,130.75,17:00,2016-04-16,2016-04-16,49.0,298432.0,24387171.0
2014,Ground movement,USA,"San Francisco Bay (San Francisco district) , Napa Valley (Napa district) ; Sonoma, Solano district (California province) ; Vallejo, Mare Island cities (Solano district, California province)",6.0,38.2151667,-122.3123333,03:20,2014-08-24,2014-08-24,1.0,3250.0,865345.0
2016,Ground movement,JPN,"Kurayoshi city (Kurayosisi district, Tottori province)",6.0,35.37,133.812,,2016-10-21,2016-10-21,,493.0,121936.0
2018,Ground movement,JPN,"Atsuma village, Abira, Sapporo (Hokkaido)",7.0,,,03:00,2018-09-06,2018-09-06,41.0,6280.0,1456825.0
2018,Ground movement,JPN,"Hyogo, Kyoto, Nara, Osaka Prefectures",6.0,34.826,135.64,07:58,2018-06-18,2018-06-18,5.0,20715.0,3787745.0
2019,Ground movement,JPN,"Yamagata, Miyagi, Niigata,Ishikawa (Honshu Island)",6.0,38.637,139.48,,2019-06-18,2019-06-18,,460.0,
1923,Ground movement,COL,Ipiales,5.0,1,-77.5,05:31,1923-12-14,1923-12-14,300.0,,
1936,Ground movement,COL,,7.0,1.1,-77.6,04:23,1936-01-09,1936-01-09,,,
1936,Ground movement,COL,Pasto,,1.2,-77.3,,1936-08-14,1936-08-14,18.0,,
1958,Tsunami,COL,Colombia-Ecuador,8.0,1.5,-79.5,09:07,1958-01-19,1958-01-19,111.0,46.0,
1967,Ground movement,COL,,7.0,6.747,-73.032,11:24,1967-07-29,1967-07-29,20.0,,
